,ra,dec,g,r,i,z
30,109.162575362534,38.3295445599384,16.76595,16.24824,16.06104,15.99074
31,109.163639095668,38.3171477575467,16.73769,16.06741,15.82365,15.69731
32,109.16364128276,38.3171520327091,16.73779,16.06745,15.82374,15.69819
33,109.166689262181,38.3257169806266,15.92904,15.16313,14.86741,14.7191
34,109.166691722346,38.325721211145,15.92908,15.16318,14.86743,14.7193
35,109.170122724886,38.3225276065692,18.66944,17.46776,17.01346,16.73651
36,109.170124942464,38.3225316968799,18.66989,17.46822,17.0131,16.73883
37,109.170824071118,38.3137718010964,18.21008,17.73378,17.57694,17.50396
38,109.170825981173,38.3137758016153,18.21056,17.73421,17.57624,17.51255
39,109.174597189121,38.3248378407697,19.64648,19.21521,19.09693,19.09594
40,109.174597198576,38.3248377933847,19.64635,19.21597,19.09683,19.09647
41,109.179225384305,38.3357482885637,18.59878,17.91472,17.6377,17.5034
42,109.179228001778,38.3357523483659,18.60072,17.91605,17.63471,17.50732
43,109.182043203438,38.3401780457095,15.37913,14.66145,14.37967,14.25065
44,109.182043203438,38.3401780457095,15.37913,14.66145,14.37967,14.25065
45,109.182046057071,38.3401821011111,15.37923,14.66152,14.37457,14.25084
46,109.182046059153,38.3401821010284,15.44139,14.66152,14.37524,14.26312
47,109.183301785897,38.3906208637003,18.31082,17.86413,17.68097,17.68441
48,109.183301785897,38.3906208637003,18.31082,17.86413,17.68097,17.68441
49,109.183309305324,38.3906275724504,18.31243,17.86537,17.68454,17.69892
50,109.186973899325,38.3231040920538,13.5974,13.204,16.13793,13.07611
51,109.186974142034,38.3231040710007,14.0899,13.20999,16.44057,13.07611
52,109.186976455937,38.3231045449135,13.5188,13.20339,16.13864,13.07612
53,109.186976722192,38.3231045356029,13.52949,13.21894,16.45633,13.07644
54,109.188759155443,38.3214087332256,17.08195,16.35896,16.13929,16.06416
55,109.188765918088,38.3214097278867,17.09777,16.36169,16.14209,16.06281
56,109.189195326865,38.2714668233208,16.8281,16.39448,16.25947,16.2449
57,109.189195326865,38.2714668233208,16.8281,16.39448,16.25947,16.2449
58,109.189195960722,38.2714703225111,16.8282,16.39469,16.25991,16.2454
59,109.189292009287,38.2900465494808,17.78444,17.29564,17.10768,17.03995
60,109.189292682229,38.2900500571754,17.78496,17.2965,17.10798,17.04535
61,109.191088580438,38.2854831541077,15.45677,15.00812,14.84522,14.78786
62,109.191088580438,38.2854831541077,15.45677,15.00812,14.84522,14.78786
63,109.191089185089,38.285486633599,15.4568,15.0082,14.84535,14.78843
64,109.193192945672,38.3196348888564,18.91642,18.56954,18.46306,18.41882
65,109.193194517466,38.3196385879662,18.91763,18.57077,18.45845,18.4354
66,109.194796395534,38.3937158680719,18.6102,18.22083,18.05897,17.97506
67,109.19479639554,38.3937158680717,18.6102,18.22083,18.05897,17.38574
68,109.199866005522,38.336630964664,16.93576,15.83312,15.4123,15.18951
69,109.199868321526,38.3366347767175,16.93626,15.83352,15.41235,15.18967
70,109.200875535788,38.3562606852483,18.3693,16.88028,16.09642,15.69377
71,109.2008755811,38.3562607626795,18.35428,16.87674,16.09436,15.69097
72,109.20088184163,38.3562665763107,18.35758,16.87785,16.09537,15.69411
73,109.200888192187,38.3562620318218,18.35734,16.88886,16.11025,15.6916
74,109.200888202909,38.3562618821784,18.36526,16.89057,16.11092,15.69164
75,109.200891713052,38.3562662380358,18.36024,16.89011,16.11005,15.69298
76,109.205228091617,38.3794496906347,14.24681,13.94688,13.85978,13.8684
77,109.205228091617,38.3794496906347,14.24681,13.94688,13.85978,13.8684
78,109.205235155664,38.3794561409291,14.24681,13.94689,13.86055,13.86861
79,109.207818222102,38.3183032008682,17.236,16.86815,16.73003,16.67501
80,109.20781822212,38.3183032008675,17.236,16.86815,16.73002,16.67499
81,109.207819524457,38.318306599699,17.23645,16.86867,16.73008,16.67636
82,109.209467323775,38.2772358146739,14.73774,14.09239,14.93384,13.76233
83,109.209467323775,38.2772358146739,14.73774,14.09239,14.93384,13.76233
84,109.209467573953,38.2772389004447,14.73775,14.09246,14.93372,13.76239
85,109.210470161079,38.2816545148737,16.34329,15.86119,15.69206,15.6255
86,109.210470412601,38.2816576729567,16.34312,15.86128,15.69207,15.62705
87,109.212285331963,38.3526078097563,19.25379,18.34142,18.01265,17.86186
88,109.21229138364,38.3526134889112,19.25859,18.34504,18.01916,17.87782
89,109.219146669228,38.3775818727513,17.45957,16.80807,16.58994,16.52245
90,109.219155550078,38.3775883618682,17.44806,16.80698,16.66407,16.50743
91,109.221523565326,38.3769356807794,12.2439,11.94691,11.84054,11.84985
92,109.221526506598,38.3769353318619,12.23781,11.94689,11.84402,11.84982
93,109.221539063981,38.3769348834536,12.23163,11.93925,15.9691,11.84991
